TC,TC,TC,msTime
83,0,0,1579748392765
83,0,0,1579748392785
83,0,0,1579748392805
81,0,0,1579748392825
81,0,0,1579748392845
81,0,0,1579748392865
81,0,0,1579748392885
81,0,0,1579748392905
82,0,0,1579748392925
82,0,0,1579748392945
82,0,0,1579748392965
82,0,0,1579748392985
82,0,0,1579748393005
82,0,0,1579748393025
82,0,0,1579748393045
82,0,0,1579748393065
82,0,0,1579748393085
82,0,0,1579748393105
82,0,0,1579748393125
82,0,0,1579748393145
82,0,0,1579748393165
82,0,0,1579748393185
82,0,0,1579748393205
82,0,0,1579748393225
82,0,0,1579748393245
82,0,0,1579748393265
82,0,0,1579748393285
82,0,0,1579748393305
82,0,0,1579748393325
82,0,0,1579748393345
82,0,0,1579748393365
82,0,0,1579748393385
82,0,0,1579748393405
82,0,0,1579748393425
83,0,0,1579748393445
83,0,0,1579748393465
83,0,0,1579748393485
83,0,0,1579748393505
83,0,0,1579748393525
83,0,0,1579748393545
82,0,0,1579748393565
82,0,0,1579748393585
82,0,0,1579748393605
82,0,0,1579748393625
82,0,0,1579748393645
82,0,0,1579748393665
82,0,0,1579748393685
82,0,0,1579748393705
82,0,0,1579748393725
82,0,0,1579748393745
82,0,0,1579748393765
83,0,0,1579748393785
83,0,0,1579748393805
83,0,0,1579748393825
83,0,0,1579748393845
83,0,0,1579748393865
82,0,0,1579748393885
82,0,0,1579748393905
82,0,0,1579748393925
82,0,0,1579748393945
82,0,0,1579748393965
82,0,0,1579748393985
82,0,0,1579748394005
82,0,0,1579748394025
82,0,0,1579748394045
82,0,0,1579748394065
82,0,0,1579748394085
82,0,0,1579748394105
82,0,0,1579748394125
82,0,0,1579748394145
82,0,0,1579748394165
82,0,0,1579748394185
82,0,0,1579748394205
82,0,0,1579748394225
82,0,0,1579748394245
82,0,0,1579748394265
82,0,0,1579748394285
82,0,0,1579748394305
82,0,0,1579748394325
82,0,0,1579748394345
82,0,0,1579748394365
82,0,0,1579748394385
83,0,0,1579748394405
83,0,0,1579748394425
83,0,0,1579748394445
83,0,0,1579748394465
83,0,0,1579748394485
83,0,0,1579748394505
82,0,0,1579748394525
82,0,0,1579748394545
82,0,0,1579748394565
82,0,0,1579748394585
82,0,0,1579748394605
82,0,0,1579748394625
82,0,0,1579748394645
82,0,0,1579748394665
82,0,0,1579748394685
82,0,0,1579748394705
83,0,0,1579748394725
83,0,0,1579748394745
83,0,0,1579748394765
83,0,0,1579748394785
83,0,0,1579748394805
83,0,0,1579748394825
82,0,0,1579748394845
82,0,0,1579748394865
82,0,0,1579748394885
82,0,0,1579748394905
82,0,0,1579748394925
82,0,0,1579748394945
82,0,0,1579748394965
82,0,0,1579748394985
82,0,0,1579748395005
82,0,0,1579748395025
82,0,0,1579748395045
82,0,0,1579748395065
82,0,0,1579748395085
82,0,0,1579748395105
82,0,0,1579748395125
82,0,0,1579748395145
82,0,0,1579748395165
82,0,0,1579748395185
82,0,0,1579748395205
82,0,0,1579748395225
82,0,0,1579748395245
82,0,0,1579748395265
82,0,0,1579748395285
82,0,0,1579748395305
82,0,0,1579748395325
82,0,0,1579748395345
82,0,0,1579748395365
82,0,0,1579748395385
82,0,0,1579748395405
82,0,0,1579748395425
82,0,0,1579748395445
82,0,0,1579748395465
82,0,0,1579748395485
82,0,0,1579748395505
82,0,0,1579748395525
82,0,0,1579748395545
82,0,0,1579748395565
82,0,0,1579748395585
82,0,0,1579748395605
82,0,0,1579748395625
82,0,0,1579748395645
82,0,0,1579748395665
81,0,0,1579748395685
81,0,0,1579748395705
81,0,0,1579748395725
81,0,0,1579748395745
81,0,0,1579748395765
81,0,0,1579748395785
82,0,0,1579748395805
82,0,0,1579748395825
82,0,0,1579748395845
82,0,0,1579748395865
82,0,0,1579748395885
82,0,0,1579748395905
82,0,0,1579748395925
82,0,0,1579748395945
82,0,0,1579748395965
